# OpenNGC (https://github.com/mattiaverga/OpenNGC), CC-BY-SA-4.0
# id	common	type	ra_hours	dec_deg	mag	size_arcmin	alias
IC 1291		GX	18.564603	49.278611	13.03	1.33	
IC 1292		OTHER	18.744569	-27.816278	99.0	0.0	
IC 1293		OTHER	18.693514	56.317778	99.0	0.0	
IC 1294		OTHER	18.830681	40.209389	99.0	0.0	
IC 1295		PN	18.910314	-8.827028	12.5	1.5	
IC 1296		GX	18.888564	33.066583	15.35	0.99	
IC 1297		PN	19.289833	-39.613056	10.7	0.12	
IC 1298		OTHER	19.309914	-1.596194	99.0	0.0	
IC 1299		OC	19.378342	20.739556	14.0	2.0	
IC 13		GX	0.338914	7.7005	14.93	1.29	
IC 130		GX	1.52465	-15.591611	15.49	0.75	
IC 1301		GX	19.442217	50.125278	14.25	1.44	
IC 1302		GX	19.514692	35.78525	13.35	0.95	
IC 1303		GX	19.525017	35.876611	14.83	1.18	
IC 1304		STAR	19.592914	41.111833	99.0	0.0	
IC 1305		OTHER	19.65475	20.194278	99.0	0.0	
IC 1306		STAR	19.694775	37.685194	99.0	0.0	
IC 1307		STAR	19.708917	27.752639	99.0	0.0	
IC 1308		EN	19.751456	-14.72025	99.0	0.0	
IC 1309		GX	20.050422	-17.232083	15.06	0.87	
IC 131		EN	1.55405	30.75325	12.52	0.3	
IC 1310		OC	20.166939	34.968889	99.0	15.0	
IC 1311		OC	20.17995	41.173944	13.1	6.3	
IC 1312		OTHER	20.280972	18.045972	99.0	0.0	
IC 1313		GX	20.312128	-16.945972	15.0	1.61	
IC 1314		STAR	20.297222	25.089778	99.0	0.0	
IC 1315		OTHER	20.289431	30.689083	99.0	0.0	
IC 1316		OTHER	20.373844	6.501694	99.0	0.0	
IC 1317		GX	20.387664	0.664722	13.73	0.76	
IC 1318	gam Cyg	STAR	20.370469	40.256694	2.23	0.0	
IC 1319		GX	20.433869	-18.504083	14.84	0.79	
IC 132		EN	1.554422	30.945611	14.82	0.67	
IC 1320		GX	20.440461	2.909722	14.44	1.07	
IC 1321		GX	20.469736	-18.2915	15.24	1.1	
IC 1322		GX	20.502356	-15.227833	15.47	1.1	
IC 1323		STAR	20.508056	-15.181944	99.0	0.0	
IC 1324		GX	20.536753	-9.056111	14.29	1.25	
IC 1327		GX	20.594797	-0.005778	14.92	0.93	
IC 1328		GX	20.699178	-19.633056	14.88	0.89	
IC 1329		OTHER	20.728364	15.597417	99.0	0.0	
IC 133		EN	1.554217	30.888389	18.45	0.45	
IC 1330		GX	20.770817	-14.023222	99.0	1.25	
IC 1331		GX	20.796881	-9.995944	14.69	1.75	
IC 1332		GX	20.864275	-13.711528	15.88	1.16	
IC 1333		GX	20.871444	-16.28575	15.46	1.37	
IC 1335		GX	20.885033	-16.335444	15.96	0.89	
IC 1336		GX	20.918033	-18.038722	15.29	0.86	
IC 1337		GX	20.947972	-16.585833	14.68	0.84	
IC 1338		GX	20.9494	-16.492611	15.59	0.76	
IC 1339		GX	20.965422	-17.942833	14.17	1.51	
IC 134		STAR	1.556944	30.900667	15.98	0.0	
IC 1340		SNR	20.935625	31.047861	99.0	25.12	
IC 1341		GX	21.004633	-13.976333	15.24	0.95	
IC 1342		GX	21.007067	-14.495861	99.0	1.08	
IC 1343		GX	21.01685	-15.403694	15.16	1.02	
IC 1344		GX	21.021236	-13.380278	14.57	1.15	
IC 1345		GX	21.022833	-13.397611	15.58	0.48	
IC 1346		GX	21.02695	-13.960694	14.92	1.23	
IC 1347		GX	21.028997	-13.313306	15.62	1.42	
IC 1348		GX	21.028919	-13.358	15.58	0.37	
IC 1349		GX	21.030681	-13.2655	15.47	0.72	
IC 135		EN	1.570981	30.620083	99.0	0.4	
IC 1350		GX	21.031192	-13.852667	14.79	0.91	
IC 1351		GX	21.031233	-13.201861	15.65	0.74	
IC 1352		GX	21.031917	-13.384083	16.38	0.5	
IC 1353		GX	21.032311	-13.272833	16.38	0.45	
IC 1355		GX	21.032886	-13.173	15.66	0.4	
IC 1356		GX	21.048056	-15.811583	15.2	0.82	
IC 1357		GX	21.099253	-10.71625	15.85	1.28	
IC 1358		GX	21.108169	-16.204444	15.65	0.5	
IC 1359		GX	21.145283	12.484278	14.74	1.16	
IC 136		STAR	1.571122	30.562056	11.04	0.0	
IC 1360		GX	21.180644	5.071361	15.4	0.8	
IC 1361		GX	21.191428	5.054333	15.39	0.78	
IC 1362		GX	21.197958	2.328972	15.88	0.62	
IC 1363		OC	21.177894	46.870056	99.0	0.0	
